Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Robby Beasley,San Francisco,G,6'3,Junior,0,3.2,1.1,0.2,-3,52.6,40,75
Cord Stansberry,Pepperdine,G,6'3,Sophomore,0,4.4,1.1,0.8,-28,49,38,69.6
Jalen Brown,Pacific,G,6'3,Senior,0,3.3,1,0.3,-45,44,42.9,NA
PJ Hayes,San Diego,F,6'6,Senior,30,10.1,3.1,1.1,-72,41.6,39.5,78.7
Alex Ducas,Saint Mary's (CA),G,6'7,Senior,32,10.2,5.8,2,303,45.7,44.4,77.4
Nick Blake,Pacific,G,6'6,Senior,6,6.9,1.9,1.1,-201,34.5,32.6,74.5
George Tupy,LMU (CA),F,6'6,Freshman,0,0,0,0,-1,NA,NA,NA
Bukky Oboye,Santa Clara,F,7'1,Freshman,0,0,1,0,-8,0,0,NA
Jake Cioe,San Francisco,G,6',Junior,0,0,0.3,0.1,-10,0,0,NA
John Squire,Pepperdine,F,6'8,Freshman,0,0.3,0.8,0.2,15,50,0,NA
Noah Taitz,LMU (CA),G,6'3,Junior,0,1,0,0,-5,33.3,33.3,NA
Andrew Younan,Portland,G,6'5,Freshman,0,0,0,0,-1,0,0,NA
Josh Hecht,San Diego,G,6'2,Freshman,0,2.2,0.2,0.2,-4,44.4,42.9,NA
Kevin Carney,LMU (CA),G,5'11,Sophomore,0,0,0,0,-7,0,0,NA
Malachi Douyon,Santa Clara,G,6'3,Sophomore,0,0,0,0,0,0,0,NA
Drew Stack,Portland,G,6'3,Freshman,0,0.4,0,0,-3,100,100,NA
Brendan Yarusso,Santa Clara,G,6'1,Sophomore,0,0.3,0,0,2,0,0,50
Greydon Edwards,Pacific,G,6',Junior,0,0.3,0,0,-11,0,0,50
Rory Hawke,Saint Mary's (CA),G,6'5,Freshman,0,2,0.6,0,-4,80,100,50
Joey Chammaa,San Diego,G,5'11,Freshman,0,2.5,0,0,6,83.3,80,50
Johnathan DeJurnett,Purdue Fort Wayne,F,6'8,Senior,1,1.5,1.8,0.1,-18,62.5,NA,35.7
Justice Williams,Robert Morris,G,6'4,Junior,28,12.5,3,2.5,-120,37.2,32,82.9
Noah Reynolds,Green Bay,G,6'3,Junior,24,20.3,3.9,4.3,11,51.1,35.9,79
Cooper Dewitt,IUPUI,G,6'6,Senior,14,0.8,0.8,0.2,-137,21.9,14.3,50
DJ Jackson,IUPUI,G,6'4,Sophomore,6,8.1,2.6,1.3,-162,43.6,32.1,82.5
Ryan Wade,Green Bay,G,6'2,Senior,0,0.8,0.6,0.9,21,15.4,11.1,100
Tae Williams,Cleveland St.,G,6'5,Senior,33,12.9,6.2,1.9,12,49.3,25.9,45
Braden Allen,IUPUI,G,6'3,Freshman,0,1.2,0.4,0.1,-14,35.7,28.6,64.3
"John Lovelace, Jr.",Youngstown St.,G,6'7,Sophomore,0,5.4,2.4,0.8,56,40.8,36.7,71.8
Kaden Brown,Wright St.,G,6',Freshman,1,1.6,0.8,0.8,-127,26.3,17.1,80
Yves Nkomba,IUPUI,F,6'11,Senior,10,1.2,1.1,0,-74,50,NA,58.3
Kidtrell Blocker,IUPUI,G,6'5,Junior,14,6.3,3,0.9,-264,43.4,23.7,64.9
Chase Robinson,Cleveland St.,G,6'1,Senior,5,5.7,2.4,1.6,58,41.6,35.2,85.1
Jalin Rice,Cleveland St.,G,6'1,Sophomore,1,2.7,2,0.8,53,45.7,33.3,46.7
Elijah Jones,Green Bay,F,6'7,Junior,27,7.7,6.7,0.5,-43,56.1,53.8,61.1
